year,ndvi_medio,ndvi_maximo,ndvi_minimo,ndvi_amplitude,coef_variacao_ndvi,produtividade_real_tons_ha,area_plantada_ha,producao_total_tons,produtividade_normalizada,ndvi_normalizado
2021,0.5467,0.7997,0.2857,0.514,0.3224803365648436,30.5,2850,86925,-0.7071067811865476,-0.7071067811865476
2022,0.5521,0.7855,0.2989,0.4866,0.3171526897301213,32.0,2900,92800,0.7071067811865476,0.7071067811865476
